Wavelength (nm),Intensity
200.0,0.0
200.1,0.0
200.2,0.0
200.29999999999998,0.0
200.39999999999998,0.0
200.49999999999997,0.0
200.59999999999997,0.0
200.69999999999996,0.0
200.79999999999995,0.0
200.89999999999995,0.0
200.99999999999994,0.0
201.09999999999994,0.0
201.19999999999993,0.0
201.29999999999993,0.0
201.39999999999992,0.0
201.49999999999991,0.0
201.5999999999999,0.0
201.6999999999999,0.0
201.7999999999999,0.0
201.8999999999999,0.0
201.9999999999999,0.0
202.09999999999988,0.0
202.19999999999987,0.0
202.29999999999987,0.0
202.39999999999986,0.0
202.49999999999986,0.0
202.59999999999985,0.0
202.69999999999985,0.0
202.79999999999984,0.0
202.89999999999984,0.0
202.99999999999983,0.0
203.09999999999982,0.0
203.19999999999982,15954456.355429146
203.2999999999998,787736159.9867351
203.3999999999998,10228435924.504007
203.4999999999998,35657974924.01631
203.5999999999998,38742237505.497215
203.6999999999998,22727886674.66933
203.79999999999978,8417857116.610164
203.89999999999978,1083263659.1855922
203.99999999999977,38151202.45944298
204.09999999999977,734741.0498987923
204.19999999999976,57509140.07836998
204.29999999999976,2316159573.7475915
204.39999999999975,24780339550.80383
204.49999999999974,70429272301.6808
204.59999999999974,53174855902.060165
204.69999999999973,10665141322.35848
204.79999999999973,568242980.8829281
204.89999999999972,8042826.821287493
204.99999999999972,0.0
205.0999999999997,0.0
205.1999999999997,0.0
205.2999999999997,0.0
205.3999999999997,0.0
205.4999999999997,0.0
205.59999999999968,0.0
205.69999999999968,0.0
205.79999999999967,0.0
205.89999999999966,0.0
205.99999999999966,0.0
206.09999999999965,0.0
206.19999999999965,0.0
206.29999999999964,0.0
206.39999999999964,0.0
206.49999999999963,0.0
206.59999999999962,0.0
206.69999999999962,0.0
206.7999999999996,0.0
206.8999999999996,0.0
206.9999999999996,0.0
207.0999999999996,0.0
207.1999999999996,0.0
207.29999999999959,2838727.067800509
207.39999999999958,198065254.33071846
207.49999999999957,3832297491.4190087
207.59999999999957,21080564192.17041
207.69999999999956,41874030328.80791
207.79999999999956,67293256791.84621
207.89999999999955,72484047356.61128
207.99999999999955,29466539462.36544
208.09999999999954,38521431308.33803
208.19999999999953,92334765015.22679
208.29999999999953,68830876298.8192
208.39999999999952,20909233030.864777
208.49999999999952,12435502027.80641
208.5999999999995,5584882072.651218
208.6999999999995,873361141.5467889
208.7999999999995,2573135196.8874493
208.8999999999995,14382345347.179644
208.9999999999995,22831217496.807808
209.09999999999948,10182188574.043266
209.19999999999948,1275725027.526023
209.29999999999947,44903158.526641
209.39999999999947,444018.00473067694
209.49999999999946,0.0
209.59999999999945,0.0
209.69999999999945,0.0
209.79999999999944,0.0
209.89999999999944,0.0
209.99999999999943,0.0
210.09999999999943,0.0
210.19999999999942,0.0
210.29999999999941,0.0
210.3999999999994,0.0
210.4999999999994,0.0
210.5999999999994,0.0
210.6999999999994,0.0
210.7999999999994,0.0
210.89999999999938,0.0
210.99999999999937,0.0
211.09999999999937,0.0
211.19999999999936,0.0
211.29999999999936,0.0
211.39999999999935,0.0
211.49999999999935,0.0
211.59999999999934,0.0
211.69999999999933,0.0
211.79999999999933,0.0
211.89999999999932,0.0
211.99999999999932,0.0
212.0999999999993,0.0
212.1999999999993,0.0
212.2999999999993,0.0
